date,BLEU_score,edit_distance,stereotype_index,human_interpretability_score,auc,retranslation_rate,usage_stats,cost,downtime
2022-11-07 12:08:37.116661,0.3,15.0,0.1585374180191795,0.85,0.5927098479838725,0.15,200,100.0,0
2022-11-08 12:08:37.116661,0.3019785634853002,15.010378255541776,0.12404639545385678,0.8506542511828717,0.6003468081265408,0.15007828186283612,202,101.30815668261046,0
2022-11-09 12:08:37.116661,0.3039562627627676,15.020751389376372,0.14319872922753732,0.8513081566826104,0.6082018061651479,0.15015646369650887,205,102.61354928660518,0
2022-11-10 12:08:37.116661,0.3059322342023208,15.031114281318452,0.17154513479907765,0.8519613710471835,0.6238482453984444,0.15023444551829512,208,103.91342112364653,0
2022-11-11 12:08:37.116661,0.3079056153289958,15.041461814225901,0.1616033705070296,0.8526135492866052,0.618100736439895,0.1503121274383307,211,105.20503026619392,0
2022-11-12 12:08:37.116661,0.30987554539953843,15.051788875520312,0.14625251320042124,0.8532643471035739,0.6052754540289974,0.1503894097059859,214,106.48565687855692,0
2022-11-13 12:08:37.116661,0.31184116597784056,15.062090358706117,0.12189394130497322,0.8539134211236464,0.5844285044997769,0.15046619275617654,217,107.75261048888169,0
2022-11-14 12:08:37.116661,0.31380162150883256,15.07236116488789,0.1594956732802701,0.854560429124795,0.6114973541829759,0.1505423772555886,220,109.00323718262774,0
2022-11-15 12:08:37.116661,0.3157560598904505,15.082596204285437,0.14885440804524872,0.8552050302661939,0.6185255400246503,0.15061786414879552,223,110.23492669830205,0
2022-11-16 12:08:37.116661,0.3177036330432948,15.092790397746112,0.15562622109218777,0.8558468853160833,0.5878246717352038,0.1506925547042463,226,111.44511940647838,0
2022-11-17 12:08:37.116661,0.31964349747759946,15.102938678254038,0.16650679712520988,0.8564856568785568,0.6023264619571115,0.15076635056010343,228,112.63131315344265,0
2022-11-18 12:08:37.116661,0.32157481485713263,15.113035992435687,0.14033258536675522,0.857121009619122,0.5960790074731827,0.1508391537699089,231,113.79106995116602,0
2022-11-19 12:08:37.116661,0.32349675255965277,15.12307730206141,0.14413459870727666,0.8577526104888816,0.561865217395614,0.15091086684805763,234,114.92202249571938,0
2022-11-20 12:08:37.116661,0.3254084842335439,15.133057585542481,0.12731311027852102,0.8583801289471898,0.6282047343416012,0.1509813928150567,236,116.02188049670039,0
2022-11-21 12:08:37.116661,0.3273091903502593,15.14297183942318,0.13270654268099963,0.8590032371826277,0.6205952503608686,0.15105063524254994,238,117.08843680075094,0
2022-11-22 12:08:37.116661,0.32919805875220354,15.152815079867489,0.15605663977363027,0.8596216103321571,0.619243034262518,0.15111849829808627,241,118.11957329279193,0
2022-11-23 12:08:37.116661,0.3310742851956865,15.162582344139988,0.12752028225245263,0.860234926698302,0.6175853028763048,0.1511848867896116,243,119.11326655919784,1
2022-11-24 12:08:37.116661,0.3329370738885876,15.172268692080433,0.1268337158774658,0.8608428679642142,0.5861856421127503,0.15124970620966335,245,120.06759329776929,1
2022-11-25 12:08:37.116661,0.33478563802236877,15.181869207571657,0.1444754900765428,0.8614451194064783,0.629125498437207,0.1513128627792473,247,120.98073546003916,1
2022-11-26 12:08:37.116661,0.33661920029808223,15.191379000000332,0.17892218253620837,0.8620413701055155,0.6042365511795489,0.1513742634913758,249,121.85098511216307,1
2022-11-27 12:08:37.116661,0.33843699344602085,15.200793205710129,0.13522416848319038,0.8626313131534427,0.6182918193448114,0.15143381615424814,251,122.67674900139832,1
2022-11-28 12:08:37.116661,0.3402382607386631,15.210106989446889,0.12935267906839523,0.8632146458592512,0.5912478339699537,0.151491429434052,252,123.45655281596115,1
2022-11-29 12:08:37.116661,0.3420222564965708,15.219315545795338,0.1678802348839961,0.863791069951166,0.6388699148831076,0.15154701289736683,254,124.18904512687354,1
2022-11-30 12:08:37.116661,0.34378824658690044,15.228414100606955,0.1614539586809478,0.8643602917760496,0.6115910031551555,0.151600477053149,255,124.87300100125987,1
2022-12-01 12:08:37.116661,0.34553550891419554,15.237397912418531,0.13696032627428417,0.8649220224957194,0.6021435664978628,0.15165173339427962,257,125.50732527743271,1
2022-12-02 12:08:37.116661,0.3472633339031314,15.24626227386103,0.17952043790894967,0.8654759782800454,0.616018997034819,0.15170069443865553,258,126.09105549301125,1
2022-12-03 12:08:37.116661,0.3489710249728895,15.255002513058301,0.16748456362849487,0.8660218804967004,0.6145636933544516,0.15174727376980424,259,126.62336445824343,1
2022-12-04 12:08:37.116661,0.3506578990028455,15.263613995015277,0.21661372613270258,0.8665594558974344,0.5853511206438164,0.15179138607700435,260,127.10356246765156,1
